Cities,Cause_category,Cause_Subcategory,Outcome_of_incident,Count,Age
Aurangabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,0,70
Aurangabad,Traffic Control,Flashing Signal/Blinker,Total Injured,0,83
Aurangabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0,42
Aurangabad,Traffic Control,Others,Greviously Injured,189,51
Aurangabad,Traffic Control,Others,Minor Injury,69,33
Aurangabad,Traffic Control,Others,Persons Killed,107,65
Aurangabad,Traffic Control,Others,Total Injured,258,64
Aurangabad,Traffic Control,Others,Total number of Accidents,345,31
Aurangabad,Traffic Control,Police Controlled,Greviously Injured,0,72
Aurangabad,Traffic Control,Police Controlled,Minor Injury,0,60
Aurangabad,Traffic Control,Police Controlled,Persons Killed,0,45
Aurangabad,Traffic Control,Police Controlled,Total Injured,0,65
Aurangabad,Traffic Control,Police Controlled,Total number of Accidents,0,30
Aurangabad,Traffic Control,Stop Sign,Greviously Injured,0,69
Aurangabad,Traffic Control,Stop Sign,Minor Injury,0,19
Aurangabad,Traffic Control,Stop Sign,Persons Killed,0,79
Aurangabad,Traffic Control,Stop Sign,Total Injured,0,83
Aurangabad,Traffic Control,Stop Sign,Total number of Accidents,0,57
Aurangabad,Traffic Control,Traffic Light Signal,Greviously Injured,0,31
Aurangabad,Traffic Control,Traffic Light Signal,Minor Injury,0,71
Aurangabad,Traffic Control,Traffic Light Signal,Persons Killed,0,15
Aurangabad,Traffic Control,Traffic Light Signal,Total Injured,0,37
Aurangabad,Traffic Control,Traffic Light Signal,Total number of Accidents,0,61
Aurangabad,Traffic Control,Uncontrolled,Greviously Injured,31,19
Aurangabad,Traffic Control,Uncontrolled,Minor Injury,4,39
Aurangabad,Traffic Control,Uncontrolled,Persons Killed,29,22
Aurangabad,Traffic Control,Uncontrolled,Total Injured,35,73
Aurangabad,Traffic Control,Uncontrolled,Total number of Accidents,61,85
Bengaluru,Traffic Control,Flashing Signal/Blinker,Greviously Injured,33,83
Bengaluru,Traffic Control,Flashing Signal/Blinker,Minor Injury,33,37
Bengaluru,Traffic Control,Flashing Signal/Blinker,Persons Killed,9,78
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total Injured,66,68
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,67,40
Bengaluru,Traffic Control,Others,Greviously Injured,1154,37
Bengaluru,Traffic Control,Others,Minor Injury,773,39
Bengaluru,Traffic Control,Others,Persons Killed,536,40
Bengaluru,Traffic Control,Others,Total Injured,1927,67
Bengaluru,Traffic Control,Others,Total number of Accidents,2316,50
Bengaluru,Traffic Control,Police Controlled,Greviously Injured,130,69
Bengaluru,Traffic Control,Police Controlled,Minor Injury,38,34
Bengaluru,Traffic Control,Police Controlled,Persons Killed,38,15
Bengaluru,Traffic Control,Police Controlled,Total Injured,168,52
Bengaluru,Traffic Control,Police Controlled,Total number of Accidents,220,63
Bengaluru,Traffic Control,Stop Sign,Greviously Injured,12,23
Bengaluru,Traffic Control,Stop Sign,Minor Injury,4,38
Bengaluru,Traffic Control,Stop Sign,Persons Killed,0,51
Bengaluru,Traffic Control,Stop Sign,Total Injured,16,24
Bengaluru,Traffic Control,Stop Sign,Total number of Accidents,16,76
Bengaluru,Traffic Control,Traffic Light Signal,Greviously Injured,180,84
Bengaluru,Traffic Control,Traffic Light Signal,Minor Injury,99,51
Bengaluru,Traffic Control,Traffic Light Signal,Persons Killed,32,47
Bengaluru,Traffic Control,Traffic Light Signal,Total Injured,279,44
Bengaluru,Traffic Control,Traffic Light Signal,Total number of Accidents,335,22
Bengaluru,Traffic Control,Uncontrolled,Greviously Injured,198,36
Bengaluru,Traffic Control,Uncontrolled,Minor Injury,97,43
Bengaluru,Traffic Control,Uncontrolled,Persons Killed,31,14
Bengaluru,Traffic Control,Uncontrolled,Total Injured,295,41
Bengaluru,Traffic Control,Uncontrolled,Total number of Accidents,279,74
Bhopal,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0,34
Bhopal,Traffic Control,Flashing Signal/Blinker,Minor Injury,19,42
Bhopal,Traffic Control,Flashing Signal/Blinker,Persons Killed,3,80
Bhopal,Traffic Control,Flashing Signal/Blinker,Total Injured,19,46
Bhopal,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,33,75
Bhopal,Traffic Control,Others,Greviously Injured,71,22
Bhopal,Traffic Control,Others,Minor Injury,753,63
Bhopal,Traffic Control,Others,Persons Killed,135,43
Bhopal,Traffic Control,Others,Total Injured,824,28
Bhopal,Traffic Control,Others,Total number of Accidents,1001,63
Bhopal,Traffic Control,Police Controlled,Greviously Injured,11,29
Bhopal,Traffic Control,Police Controlled,Minor Injury,45,24
Bhopal,Traffic Control,Police Controlled,Persons Killed,9,14
Bhopal,Traffic Control,Police Controlled,Total Injured,56,21
Bhopal,Traffic Control,Police Controlled,Total number of Accidents,101,33
Bhopal,Traffic Control,Stop Sign,Greviously Injured,30,46
Bhopal,Traffic Control,Stop Sign,Minor Injury,295,56
Bhopal,Traffic Control,Stop Sign,Persons Killed,26,74
Bhopal,Traffic Control,Stop Sign,Total Injured,325,71
Bhopal,Traffic Control,Stop Sign,Total number of Accidents,416,15
Bhopal,Traffic Control,Traffic Light Signal,Greviously Injured,21,54
Bhopal,Traffic Control,Traffic Light Signal,Minor Injury,103,32
Bhopal,Traffic Control,Traffic Light Signal,Persons Killed,18,11
Bhopal,Traffic Control,Traffic Light Signal,Total Injured,124,31
Bhopal,Traffic Control,Traffic Light Signal,Total number of Accidents,181,86
Bhopal,Traffic Control,Uncontrolled,Greviously Injured,53,41
Bhopal,Traffic Control,Uncontrolled,Minor Injury,406,62
Bhopal,Traffic Control,Uncontrolled,Persons Killed,46,68
Bhopal,Traffic Control,Uncontrolled,Total Injured,459,83
Bhopal,Traffic Control,Uncontrolled,Total number of Accidents,563,36
Chandigarh,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4,24
Chandigarh,Traffic Control,Flashing Signal/Blinker,Minor Injury,15,13
Chandigarh,Traffic Control,Flashing Signal/Blinker,Persons Killed,5,56
Chandigarh,Traffic Control,Flashing Signal/Blinker,Total Injured,19,11
Chandigarh,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,15,42
Chandigarh,Traffic Control,Others,Greviously Injured,8,27
